emp_no,first_name,last_name,birth_date,from_date,to_date,title,dept,,,,,
14075,Denny,Tchuente,03-01-65,30-05-91,01-01-99,Assistant Engineer,d005,,Assistant Engineer,61,,
17731,Gennady,Roison,16-01-65,06-12-89,01-01-99,Assistant Engineer,d005,,Engineer,403,,
21181,Jianhui,Cangellaris,21-01-65,06-10-91,01-01-99,Assistant Engineer,d004,,Senior Engineer,284,,
22185,Huai,Birch,29-01-65,12-06-02,01-01-99,Assistant Engineer,d004,,Senior Staff,433,,
29380,Satoru,Vidal,30-01-65,02-05-98,01-01-99,Assistant Engineer,d004,,Staff,291,,
29418,Valery,Mersereau,22-01-65,01-07-98,01-01-99,Assistant Engineer,d004,,Technique Leader,77,,
32552,Atreye,Stanger,17-01-65,10-09-93,01-01-99,Assistant Engineer,d005,,,1549,,
44962,Sariel,Wynblatt,16-01-65,18-05-96,01-01-99,Assistant Engineer,d005,,,,,
56682,Roded,Picco,28-01-65,06-11-93,01-01-99,Assistant Engineer,d005,,,,,
69936,Lalit,Unni,23-01-65,31-01-99,01-01-99,Assistant Engineer,d004,,d001,126,2199,5.7%
71710,Hitomi,Takanami,31-01-65,15-12-97,01-01-99,Assistant Engineer,d005,,d002,74,1908,3.9%
77815,Ronghao,Picaronny,21-01-65,09-06-93,01-01-99,Assistant Engineer,d005,,d003,92,1953,4.7%
84315,Kristina,Baumann,23-01-65,26-09-96,01-01-99,Assistant Engineer,d005,,d004,356,8174,4.4%
87714,Khun,Janetzko,16-01-65,13-09-89,01-01-99,Assistant Engineer,d004,,d005,417,9281,4.5%
90614,Yonghoan,Trogemann,29-01-65,23-09-88,01-01-99,Assistant Engineer,d004,,d006,70,2234,3.1%
92577,Zhanqiu,Farrow,06-01-65,10-01-99,01-01-99,Assistant Engineer,d004,,d007,247,5860,4.2%
92598,Ranga,Merro,18-01-65,11-05-96,01-01-99,Assistant Engineer,d004,,d008,82,2413,3.4%
105731,Sachem,Cromarty,15-01-65,20-08-90,01-01-99,Assistant Engineer,d005,,d009,85,2597,3.3%
201739,Genta,Terekhov,16-01-65,21-07-98,01-01-99,Assistant Engineer,d005,,,1549,36619,4.2%
207551,Baziley,Falck,15-01-65,18-02-95,01-01-99,Assistant Engineer,d005,,,,,
209712,Nimmagadda,Baak,17-01-65,30-10-87,01-01-99,Assistant Engineer,d005,,,,,
222354,Valdiodio,Schlumberger,15-01-65,07-08-93,01-01-99,Assistant Engineer,d005,,,,,
222616,Badri,Schapire,01-02-65,19-01-98,01-01-99,Assistant Engineer,d006,,,,,
225601,Masasuke,Genin,13-01-65,25-06-94,01-01-99,Assistant Engineer,d005,,,,,
230287,Renny,Alameldin,14-01-65,28-09-97,01-01-99,Assistant Engineer,d004,,,,,
231459,Nectarios,Pramanik,28-01-65,18-11-99,01-01-99,Assistant Engineer,d004,,,,,
232723,Tesuya,Bugrara,14-01-65,13-02-93,01-01-99,Assistant Engineer,d006,,,,,
239706,Arunas,Bugrara,15-01-65,03-04-97,01-01-99,Assistant Engineer,d004,,,,,
242081,Tomokazu,Pargas,12-01-65,15-11-96,01-01-99,Assistant Engineer,d004,,,,,
244711,Rosli,Butner,25-01-65,20-03-91,01-01-99,Assistant Engineer,d004,,,,,
248953,Percy,Sudbeck,29-01-65,29-08-96,01-01-99,Assistant Engineer,d004,,,,,
251437,Shichao,Iwayama,20-01-65,17-10-89,01-01-99,Assistant Engineer,d005,,,,,
252185,Chaosheng,Conta,01-01-65,14-04-97,01-01-99,Assistant Engineer,d006,,,,,
253838,Stafford,Terlouw,28-01-65,21-02-99,01-01-99,Assistant Engineer,d004,,,,,
262210,Chinho,Bottner,22-01-65,29-07-85,01-01-99,Assistant Engineer,d005,,,,,
264030,Zdislav,Solares,15-01-65,14-12-90,01-01-99,Assistant Engineer,d004,,,,,
272860,Minghong,Candan,01-02-65,10-02-94,01-01-99,Assistant Engineer,d004,,,,,
279791,Chiranjit,Lyonns,10-01-65,24-12-86,01-01-99,Assistant Engineer,d005,,,,,
281570,Zijian,Covnot,08-01-65,13-09-94,01-01-99,Assistant Engineer,d005,,,,,
290478,Tsvetan,Sherertz,03-01-65,07-08-89,01-01-99,Assistant Engineer,d006,,,,,
292515,Bernd,Thummel,04-01-65,03-08-89,01-01-99,Assistant Engineer,d005,,,,,
294791,Vesna,Lammel,28-01-65,08-10-99,01-01-99,Assistant Engineer,d005,,,,,
295262,Moon,Pews,22-01-65,06-08-94,01-01-99,Assistant Engineer,d004,,,,,
295278,Val,Barvinok,04-01-65,02-01-90,01-01-99,Assistant Engineer,d005,,,,,
297905,Marc,Bahl,12-01-65,18-06-97,01-01-99,Assistant Engineer,d005,,,,,
297954,Sailaja,Fujisaki,13-01-65,24-07-95,01-01-99,Assistant Engineer,d004,,,,,
